Afghanistan Kabul
Albania	Tirana
Algeria	Algiers
Armenia	Yerevan
Australia Canberra
Austria	Vienna
Azerbaijan Baku
Madagascar Antananarivo
Malawi Lilongwe
Mali Bamako
Malta Valletta
Mauritania Nouakchott
Nepal Kathmandu
Netherlands Amsterdam
Taiwan	Taipei
Tajikistan Dushanbe
Tanzania Dodoma
Thailand Bangkok
Timor-Leste Dili
Togo Lomé
Tonga Nukuʻalofa
Laos Vientiane
Latvia	Riga
Lebanon	Beirut
Lesotho	Maseru
Liberia	Monrovia
Libya	Tripoli
Liechtenstein	Vaduz
Lithuania Vilnius
Kazakhstan	Nur-Sultan
Kenya	Nairobi
Kiribati	Tarawa
Kosovo	Pristina
Kyrgyzstan	Bishkek
Jamaica	Kingston
Japan	Tokyo
Jordan	Amman
Indonesia	Jakarta
Iran	Tehran
Iraq	Baghdad
Ireland	Dublin
Israel	Jerusalem
Italy	Rome
Finland Helsinki
Sweden Stockholm
Norway Oslo
Ukraine	Kiev
